"ProjectState","ApprovalFiscalYear","mn_hpi"
"UT",2000,238.8575
"UT",2001,249.265
"UT",2002,252.58
"UT",2003,256.7475
"UT",2004,264.7075
"UT",2005,290.04
"UT",2006,335.805
"UT",2007,376.815
"UT",2008,371.765
"UT",2009,341.9975
"UT",2010,320.5025
"UT",2011,303.405
"UT",2012,307.9075
"UT",2013,329.7875
"UT",2014,349.9575
"UT",2015,369.8775
"UT",2016,393.726666666667
"VA",1990,187.9025
"VA",1991,187.9775
"VA",1992,191.295
"VA",1993,193.3875
"VA",1994,194.715
"VA",1995,197.1475
"VA",1996,201.45
"VA",1997,205.4475
"VA",1998,212.0125
"VA",1999,221.1375
"VA",2000,236.2775
"VA",2001,256.625
"VA",2002,278.98
"VA",2003,301.82
"VA",2004,346.8925
"VA",2005,413.775
"VA",2006,457.14
"VA",2007,464.9375
"VA",2008,442.5375
"VA",2009,418.565
"VA",2010,402.85
"VA",2011,392.37
"VA",2012,391.6025
"VA",2013,398.01
"VA",2014,409.4125
"VA",2015,421.65
"VA",2016,432.176666666667
"VT",1990,213.285
"VT",1991,211.0875
"VT",1992,213.0225
"VT",1993,215.015
"VT",1994,215.6275
"VT",1995,216.96
"VT",1996,219.9975
"VT",1997,222.2
"VT",1998,227.33
"VT",1999,236.895
"VT",2000,254.3125
"VT",2001,273.7925
"VT",2002,294.5075
"VT",2003,315.8825
"VT",2004,358.0925
"VT",2005,407.8125
"VT",2006,441.22
"VT",2007,452.36
"VT",2008,451.5
"VT",2009,441.7525
"VT",2010,436.0275
"VT",2011,432.6025
"VT",2012,434.2025
"VT",2013,434.8225
"VT",2014,437.0775
"VT",2015,445.56
"VT",2016,451.486666666667
"WA",1990,172.795
"WA",1991,184.2675
"WA",1992,191.9225
"WA",1993,199.5375
"WA",1994,209.0825
"WA",1995,216.225
"WA",1996,222.865
"WA",1997,231.8475
"WA",1998,247.5025
"WA",1999,260.68
"WA",2000,274.295
"WA",2001,291.1275
"WA",2002,303.87
"WA",2003,317.085
"WA",2004,347.2175
"WA",2005,402.6325
"WA",2006,465.395
"WA",2007,497.7125
"WA",2008,484.53
"WA",2009,443.3125
"WA",2010,413.6975
"WA",2011,386.7675
"WA",2012,381.9025
"WA",2013,402.3625
"WA",2014,431.155
"WA",2015,467.6325
"WA",2016,511.983333333333
"WI",1990,136.36
"WI",1991,142.91
"WI",1992,150.5925
"WI",1993,158.1475
"WI",1994,172.1475
"WI",1995,182.6775
"WI",1996,191.075
"WI",1997,199.5825
"WI",1998,207.34
"WI",1999,217.7825
"WI",2000,231.09
"WI",2001,243.2575
"WI",2002,255.545
"WI",2003,267.75
"WI",2004,289.4075
"WI",2005,312.0225
"WI",2006,322.59
"WI",2007,326.765
"WI",2008,321.745
"WI",2009,312.415
"WI",2010,303.0075
"WI",2011,294.185
"WI",2012,292.205
"WI",2013,292.3275
"WI",2014,296.8725
"WI",2015,307.4475
"WI",2016,318.65
"WV",1990,106.755
"WV",1991,110.1575
"WV",1992,115.375
"WV",1993,120.8225
"WV",1994,127.1225
"WV",1995,132.63
"WV",1996,137.4
"WV",1997,141.76
"WV",1998,148.46
"WV",1999,151.3325
"WV",2000,153.715
"WV",2001,162.215
"WV",2002,167.875
"WV",2003,174.3975
"WV",2004,185.145
"WV",2005,203.0275
"WV",2006,215.185
"WV",2007,220.025
"WV",2008,219.8175
"WV",2009,215.4725
"WV",2010,212.88
"WV",2011,209.7175
"WV",2012,210.65
"WV",2013,213.6875
"WV",2014,219.1675
"WV",2015,225.2625
"WV",2016,229.306666666667
"WY",1990,89.7875
"WY",1991,94.695
"WY",1992,100.7025
"WY",1993,108.3525
"WY",1994,119.4575
"WY",1995,128.7
"WY",1996,135.0325
"WY",1997,139.1625
"WY",1998,144.0575
"WY",1999,148.0725
"WY",2000,154.4275
"WY",2001,163.18
"WY",2002,173.7975
"WY",2003,184.425
"WY",2004,201.7025
"WY",2005,224.59
"WY",2006,252.8725
"WY",2007,277.115
"WY",2008,282.7775
"WY",2009,277.5825
"WY",2010,269.5125
"WY",2011,266.025
"WY",2012,269.6875
"WY",2013,276.405
"WY",2014,285.065
"WY",2015,296.715
"WY",2016,303.003333333333
