"ProjectState","ApprovalFiscalYear","mn_hpi"
"DE",2011,414.0675
"DE",2012,405.56
"DE",2013,409.1975
"DE",2014,417.5575
"DE",2015,430.3325
"DE",2016,439.233333333333
"FL",1990,153.3625
"FL",1991,155.93
"FL",1992,160.165
"FL",1993,163.78
"FL",1994,165.13
"FL",1995,169.0625
"FL",1996,173.7825
"FL",1997,178.47
"FL",1998,187.3225
"FL",1999,194.6575
"FL",2000,207.8375
"FL",2001,228.495
"FL",2002,251.865
"FL",2003,278.4725
"FL",2004,326.1675
"FL",2005,409.61
"FL",2006,474.445
"FL",2007,462.17
"FL",2008,383.63
"FL",2009,327.195
"FL",2010,295.05
"FL",2011,272.6575
"FL",2012,271.24
"FL",2013,293.335
"FL",2014,321.5625
"FL",2015,352.65
"FL",2016,382.8
"GA",1990,160.0025
"GA",1991,161.6325
"GA",1992,165.8125
"GA",1993,170.425
"GA",1994,174.2125
"GA",1995,180.68
"GA",1996,188.975
"GA",1997,197.4575
"GA",1998,209.4925
"GA",1999,222.3025
"GA",2000,235.67
"GA",2001,252.9175
"GA",2002,264.3975
"GA",2003,274.535
"GA",2004,286.6925
"GA",2005,302.76
"GA",2006,316.5775
"GA",2007,325.785
"GA",2008,318.975
"GA",2009,304.4125
"GA",2010,282.57
"GA",2011,261.4875
"GA",2012,252.2525
"GA",2013,262.635
"GA",2014,281.17
"GA",2015,300.21
"GA",2016,317.306666666667
"HI",1990,235.0475
"HI",1991,259.5825
"HI",1992,263.2
"HI",1993,264.6575
"HI",1994,263.655
"HI",1995,260.1425
"HI",1996,247.495
"HI",1997,231.4425
"HI",1998,230.68
"HI",1999,226.0425
"HI",2000,232.3925
"HI",2001,251.845
"HI",2002,271.205
"HI",2003,300.995
"HI",2004,369.785
"HI",2005,459.6975
"HI",2006,525.9725
"HI",2007,536.435
"HI",2008,510.7075
"HI",2009,466.9925
"HI",2010,448.9575
"HI",2011,442.4225
"HI",2012,448.07
"HI",2013,472.8525
"HI",2014,507.43
"HI",2015,542.1075
"HI",2016,574.45
"IA",1990,117.795
"IA",1991,123.2775
"IA",1992,128.63
"IA",1993,135.165
"IA",1994,144.8875
"IA",1995,152.8
"IA",1996,159.865
"IA",1997,166.2625
"IA",1998,174.3175
"IA",1999,181.845
"IA",2000,189.3225
"IA",2001,199.2175
"IA",2002,206.4975
"IA",2003,214.0125
"IA",2004,223.815
"IA",2005,234.8425
"IA",2006,241.125
"IA",2007,246.3825
"IA",2008,247.61
"IA",2009,247.4075
"IA",2010,245.7425
"IA",2011,245.125
"IA",2012,247.8375
"IA",2013,252.1
"IA",2014,257.6075
"IA",2015,266.6075
"IA",2016,275.023333333333
"ID",1990,123.1
"ID",1991,130.5575
"ID",1992,139.4025
"ID",1993,151.725
"ID",1994,163.77
"ID",1995,172.7425
"ID",1996,178.67
"ID",1997,183.6175
"ID",1998,190.2675
"ID",1999,193.6775
"ID",2000,197.0825
"ID",2001,207.44
"ID",2002,213.7475
"ID",2003,222.375
"ID",2004,238.645
"ID",2005,274.62
"ID",2006,320.77
"ID",2007,339.3075
"ID",2008,330.38
"ID",2009,308.1075
"ID",2010,279.3325
"ID",2011,254.37
"ID",2012,257.915
"ID",2013,272.375
"ID",2014,288.835
"ID",2015,308.2675
"ID",2016,327.676666666667
"IL",1990,168.5375
"IL",1991,174.9875
"IL",1992,181.5125
"IL",1993,187.765
"IL",1994,196.0675
"IL",1995,203.6875
"IL",1996,210.805
"IL",1997,217.185
"IL",1998,224.25
"IL",1999,233.1775
"IL",2000,247.8775
"IL",2001,262.73
"IL",2002,278.9725
"IL",2003,293.855
"IL",2004,318.3975
"IL",2005,346.5825
"IL",2006,366.1225
"IL",2007,371.3925
"IL",2008,357.355
"IL",2009,333.755
"IL",2010,316.795
"IL",2011,301.8275
"IL",2012,296.6975
"IL",2013,298.325
"IL",2014,308.5575
"IL",2015,320.0775
"IL",2016,328.996666666667
"IN",1990,140.355
"IN",1991,145.905
"IN",1992,151.985
"IN",1993,157.6025
"IN",1994,164.57
"IN",1995,172.7025
"IN",1996,181.215
"IN",1997,188.885
"IN",1998,197.155
"IN",1999,203.4575
"IN",2000,209.855
"IN",2001,220.245
"IN",2002,226.5875
"IN",2003,232.7575
"IN",2004,239.3325
"IN",2005,248.1075
"IN",2006,252.0375
"IN",2007,255.6275
"IN",2008,254.145
"IN",2009,250.005
"IN",2010,244.935
"IN",2011,241.11
"IN",2012,241.725
"IN",2013,244.2975
"IN",2014,249.685
"IN",2015,259.7875
"IN",2016,268.543333333333
"KS",1990,119.79
"KS",1991,121
"KS",1992,124.38
"KS",1993,128.17
"KS",1994,136.4925
"KS",1995,143.87
"KS",1996,150.7225
"KS",1997,156.8725
"KS",1998,164.7325
"KS",1999,173.275
"KS",2000,182.1625
"KS",2001,192.02
"KS",2002,200.3975
"KS",2003,207.24
"KS",2004,216.235
"KS",2005,225.9875
"KS",2006,233.1825
"KS",2007,239.43
"KS",2008,239.14
"KS",2009,238.22
"KS",2010,235.625
"KS",2011,232.2725
"KS",2012,232.9775
"KS",2013,235.365
"KS",2014,241.22
"KS",2015,250.5775
"KS",2016,260.783333333333
"KY",1990,144.5975
"KY",1991,149.4225
"KY",1992,154.8475
"KY",1993,160.4775
"KY",1994,170.15
"KY",1995,179.135
"KY",1996,187.275
"KY",1997,195.56
"KY",1998,204.22
"KY",1999,212.9925
"KY",2000,222.1925
"KY",2001,233.1
"KY",2002,240.9075
"KY",2003,249.71
"KY",2004,261.505
"KY",2005,274.6125
"KY",2006,283.6075
"KY",2007,290.475
"KY",2008,292.2675
"KY",2009,290.055
"KY",2010,286.6375
"KY",2011,283.2375
"KY",2012,285.01
"KY",2013,287.15
"KY",2014,291.695
"KY",2015,302.96
"KY",2016,313.813333333333
"LA",1990,102.66
"LA",1991,105.5725
"LA",1992,111.01
"LA",1993,116.5825
"LA",1994,124.0025
"LA",1995,129.9825
"LA",1996,136.695
"LA",1997,142.71
"LA",1998,150.2775
"LA",1999,156.1625
"LA",2000,161.635
"LA",2001,170.4425
"LA",2002,177.0425
"LA",2003,185.885
"LA",2004,196.1125
"LA",2005,209.5475
"LA",2006,232.2575
"LA",2007,244.135
"LA",2008,245.065
"LA",2009,244.275
"LA",2010,240.645
"LA",2011,238.0225
"LA",2012,241.495
"LA",2013,245.1875
"LA",2014,251.14
"LA",2015,261.965
"LA",2016,271.836666666667
"MA",1990,303.07
"MA",1991,286.69
"MA",1992,283.795
"MA",1993,284.535
"MA",1994,284.18
"MA",1995,290.0425
"MA",1996,300.4925
"MA",1997,313.785
"MA",1998,335.6575
"MA",1999,370.685
"MA",2000,424.2325
"MA",2001,475.48
"MA",2002,533.245
"MA",2003,584.2025
"MA",2004,649.76
"MA",2005,710.39
"MA",2006,715.6
"MA",2007,692.2975
"MA",2008,656.115
"MA",2009,626.6425
"MA",2010,615.065
"MA",2011,604.19
"MA",2012,602.65
"MA",2013,618.18
"MA",2014,647.2425
"MA",2015,677.2575
"MA",2016,707.19
"MD",1990,202.695
"MD",1991,206.2075
"MD",1992,210.49
"MD",1993,212.06
"MD",1994,210.755
"MD",1995,211.63
"MD",1996,215.3225
"MD",1997,217.335
"MD",1998,223.7625
"MD",1999,230.625
"MD",2000,243.415
"MD",2001,263.0575
"MD",2002,290.5525
"MD",2003,321.705
"MD",2004,379.865
"MD",2005,461.5025
"MD",2006,520.3475
"MD",2007,529.0275
"MD",2008,490.1875
"MD",2009,444.6075
"MD",2010,423.3075
"MD",2011,406.5725
"MD",2012,403.0975
"MD",2013,410.1075
"MD",2014,422.425
"MD",2015,434.4275
"MD",2016,445.916666666667
"ME",1990,239.9925
"ME",1991,233.2325
"ME",1992,232.4775
"ME",1993,231.635
"ME",1994,227.035
"ME",1995,229.0275
"ME",1996,235.865
"ME",1997,240.565
"ME",1998,252.8425
"ME",1999,267.98
"ME",2000,290.315
"ME",2001,318.9925
"ME",2002,350.655
"ME",2003,382.815
"ME",2004,430.485
"ME",2005,479.405
"ME",2006,499.7375
"ME",2007,507.36
"ME",2008,499.24
"ME",2009,478.2625
"ME",2010,462.1675
"ME",2011,453.495
"ME",2012,448.2425
"ME",2013,451.5375
"ME",2014,458.55
"ME",2015,475.39
"ME",2016,491.693333333333
"MI",1990,147.695
"MI",1991,153.3625
"MI",1992,158.8425
"MI",1993,163.225
"MI",1994,171.495
"MI",1995,183.665
"MI",1996,198.11
"MI",1997,213.1725
"MI",1998,226.4425
"MI",1999,241.645
"MI",2000,259.125
"MI",2001,274.23
"MI",2002,286.19
"MI",2003,295.9125
"MI",2004,307.5275
"MI",2005,317.7925
"MI",2006,313.055
"MI",2007,300.15
"MI",2008,277.3975
"MI",2009,257.2825
"MI",2010,239.76
"MI",2011,230.695
"MI",2012,231.28
"MI",2013,246.05
"MI",2014,264.2175
"MI",2015,279.8725
"MI",2016,293.653333333333
"MN",1990,139.635
"MN",1991,143.6325
"MN",1992,148.4075
"MN",1993,153.9875
"MN",1994,160.37
"MN",1995,168.03
"MN",1996,176.5075
"MN",1997,185.125
"MN",1998,196.11
"MN",1999,212.075
"MN",2000,234.2575
"MN",2001,258.42
"MN",2002,281.72
"MN",2003,302.575
"MN",2004,330.265
"MN",2005,357.14
"MN",2006,366.7775
"MN",2007,364.2675
"MN",2008,346.485
"MN",2009,328.2875
"MN",2010,311.2875
"MN",2011,295.8675
"MN",2012,294.555
"MN",2013,308.25
"MN",2014,323.54
"MN",2015,337.6275
"MN",2016,352.22
"MO",1990,146.495
"MO",1991,148.4975
"MO",1992,151.9175
"MO",1993,154.9075
"MO",1994,161.9575
"MO",1995,169.3575
"MO",1996,176.675
"MO",1997,183.9025
"MO",1998,191.385
"MO",1999,200.66
"MO",2000,212.235
"MO",2001,224.855
"MO",2002,237.2275
"MO",2003,247.945
"MO",2004,263.5625
"MO",2005,280.9625
"MO",2006,292.175
"MO",2007,297.48
"MO",2008,292.9325
"MO",2009,285.2125
"MO",2010,277.1575
"MO",2011,269.1125
"MO",2012,268.35
"MO",2013,269.3775
"MO",2014,275.87
"MO",2015,286.78
"MO",2016,299.216666666667
"MS",1990,125.6275
"MS",1991,127.635
"MS",1992,132.425
"MS",1993,136.5325
"MS",1994,143.835
"MS",1995,150.76
"MS",1996,157.275
"MS",1997,163.055
"MS",1998,171.455
"MS",1999,178.7
"MS",2000,184.1875
"MS",2001,193.91
"MS",2002,198.82
"MS",2003,205.315
"MS",2004,213.2625
"MS",2005,225.5025
"MS",2006,245.085
"MS",2007,257.355
"MS",2008,256.9075
"MS",2009,252.09
"MS",2010,243.7475
"MS",2011,239.4575
"MS",2012,239.1425
"MS",2013,238.6475
"MS",2014,242.32
"MS",2015,250.5875
"MS",2016,256.846666666667
"MT",1990,118.28
"MT",1991,124.9
"MT",1992,136.7425
"MT",1993,150.5925
"MT",1994,166.52
"MT",1995,178.125
"MT",1996,187.195
"MT",1997,192.6825
"MT",1998,199.23
"MT",1999,204.255
"MT",2000,212.2375
"MT",2001,224.2275
"MT",2002,236.4975
"MT",2003,251.855
"MT",2004,276.6675
"MT",2005,311.3475
"MT",2006,346.885
"MT",2007,371.2575
"MT",2008,376.0375
"MT",2009,367.74
"MT",2010,352.585
"MT",2011,342.695
"MT",2012,348.0475
"MT",2013,361.5625
"MT",2014,376.37
"MT",2015,393.7125
"MT",2016,408.493333333333
"NC",1990,162.3225
"NC",1991,165.7675
"NC",1992,170.625
"NC",1993,175.09
"NC",1994,182.8125
"NC",1995,191.88
"NC",1996,200.8875
"NC",1997,210.5025
"NC",1998,221.0325
"NC",1999,229.415
"NC",2000,237.965
"NC",2001,250.6325
"NC",2002,258.4625
"NC",2003,266.5425
"NC",2004,276.94
"NC",2005,294.8
"NC",2006,316.355
"NC",2007,333.325
"NC",2008,337.015
"NC",2009,329.2825
"NC",2010,314.4325
"NC",2011,303.0975
"NC",2012,298.645
"NC",2013,301.7075
"NC",2014,309.9675
"NC",2015,324.56
"NC",2016,340.096666666667
"ND",1990,111.4725
"ND",1991,114.555
"ND",1992,119.2125
"ND",1993,125.0025
"ND",1994,132.8125
"ND",1995,139.2925
"ND",1996,144.76
"ND",1997,148.1775
"ND",1998,155.8475
"ND",1999,158.275
"ND",2000,161.44
"ND",2001,169.5475
"ND",2002,177.0875
"ND",2003,186.3675
"ND",2004,199.6075
"ND",2005,215.7725
"ND",2006,229.1425
"ND",2007,240.615
"ND",2008,248.0925
"ND",2009,251.695
"ND",2010,254.5975
"ND",2011,264.065
"ND",2012,279.9525
"ND",2013,306.625
"ND",2014,329.705
"ND",2015,349.715
"ND",2016,359.003333333333
"NE",1990,125.58
"NE",1991,129.7125
"NE",1992,135.675
"NE",1993,142.0125
"NE",1994,152.59
"NE",1995,161.045
"NE",1996,169.8075
"NE",1997,178.38
"NE",1998,186.6075
"NE",1999,194.7075
"NE",2000,201.5525
"NE",2001,209.9
"NE",2002,216.745
"NE",2003,223.365
"NE",2004,233.9975
"NE",2005,244.355
"NE",2006,248.9675
"NE",2007,252.0225
"NE",2008,251.29
"NE",2009,250.3875
"NE",2010,248.45
"NE",2011,247.865
"NE",2012,250.945
"NE",2013,257.7475
"NE",2014,266.875
"NE",2015,279.5425
"NE",2016,290.273333333333
"NH",1990,213.8625
"NH",1991,196.7375
"NH",1992,190.5475
"NH",1993,189.35
"NH",1994,186.9525
"NH",1995,189.415
"NH",1996,195.77
"NH",1997,203.19
"NH",1998,216.335
"NH",1999,235.03
"NH",2000,266.54
"NH",2001,299.34
"NH",2002,334.9975
"NH",2003,366.4825
"NH",2004,407.675
"NH",2005,450.61
"NH",2006,463.865
"NH",2007,456.785
"NH",2008,435.4375
"NH",2009,408.7625
"NH",2010,393.2275
"NH",2011,380.71
"NH",2012,375.3925
"NH",2013,378.825
"NH",2014,391.475
"NH",2015,407.5275
"NH",2016,422.51
"NJ",1990,237.7
"NJ",1991,229.52
"NJ",1992,232.0875
"NJ",1993,235.295
"NJ",1994,234.37
"NJ",1995,234.555
"NJ",1996,238.9775
"NJ",1997,242.7025
"NJ",1998,253.0325
"NJ",1999,265.78
"NJ",2000,289.545
"NJ",2001,318.1875
"NJ",2002,356.64
"NJ",2003,394.6275
"NJ",2004,453.5225
"NJ",2005,524.865
"NJ",2006,570.2125
"NJ",2007,569.7275
"NJ",2008,539.2175
"NJ",2009,501.99
"NJ",2010,484.5125
"NJ",2011,465.6125
"NJ",2012,453.4775
"NJ",2013,455.8475
"NJ",2014,468.305
"NJ",2015,482.2375
"NJ",2016,494
"NM",1990,133.8475
"NM",1991,137.8775
"NM",1992,145.4825
"NM",1993,154.55
"NM",1994,170.3975
"NM",1995,181.9675
"NM",1996,186.8275
"NM",1997,190.3775
"NM",1998,195.0025
"NM",1999,197.365
"NM",2000,199.435
"NM",2001,208.115
"NM",2002,215.6575
"NM",2003,226.645
"NM",2004,243.04
"NM",2005,272.1375
"NM",2006,308.2675
"NM",2007,327.785
"NM",2008,323.6575
"NM",2009,310.35
"NM",2010,298.675
"NM",2011,285.265
"NM",2012,280.3325
"NM",2013,282.8975
"NM",2014,286.3925
"NM",2015,293.3575
"NM",2016,300.333333333333
"NV",1990,143.3825
"NV",1991,152.19
"NV",1992,157.9625
"NV",1993,161.735
"NV",1994,164.415
"NV",1995,170.045
"NV",1996,175.0775
"NV",1997,179.0175
"NV",1998,184.435
"NV",1999,186.6525
"NV",2000,192.33
"NV",2001,204.7675
"NV",2002,217.8775
"NV",2003,237.3025
"NV",2004,305.24
"NV",2005,376.8225
"NV",2006,408.265
"NV",2007,389.605
"NV",2008,311.6875
"NV",2009,250.3125
"NV",2010,215.5775
"NV",2011,187.9525
"NV",2012,185.1725
"NV",2013,215.5475
"NV",2014,249.8275
"NV",2015,277.62
"NV",2016,300.753333333333
"NY",1990,283.2225
"NY",1991,280.44
"NY",1992,286.4925
"NY",1993,288.135
"NY",1994,282.035
"NY",1995,280.7975
"NY",1996,286.1225
"NY",1997,289.0625
"NY",1998,303.9275
"NY",1999,321.39
"NY",2000,350.6275
"NY",2001,383.4625
"NY",2002,423.615
"NY",2003,466.8275
"NY",2004,525.8975
"NY",2005,595.09
"NY",2006,634.405
"NY",2007,638.435
"NY",2008,620.085
"NY",2009,593.465
"NY",2010,576.6925
"NY",2011,565.005
"NY",2012,558.5425
"NY",2013,563.74
"NY",2014,577.165
"NY",2015,599.3825
"NY",2016,617.346666666667
"OH",1990,143.805
"OH",1991,149.6025
"OH",1992,156.2025
"OH",1993,162.2475
"OH",1994,169.9725
"OH",1995,177.785
"OH",1996,186.8675
"OH",1997,194.94
"OH",1998,204.055
"OH",1999,211.6175
"OH",2000,219.66
"OH",2001,231.36
"OH",2002,239.2475
"OH",2003,246.975
"OH",2004,255.75
"OH",2005,264.9875
"OH",2006,266.3025
"OH",2007,264.2075
"OH",2008,257.65
"OH",2009,251.41
"OH",2010,244.385
"OH",2011,236.4475
"OH",2012,235.02
"OH",2013,235.78
"OH",2014,242.72
"OH",2015,253.205
"OH",2016,262.806666666667
"OK",1990,100.3775
"OK",1991,103.73
"OK",1992,107.265
"OK",1993,111.3925
"OK",1994,116.15
"OK",1995,120.18
"OK",1996,125.0175
"OK",1997,128.785
"OK",1998,135.125
"OK",1999,140.495
"OK",2000,145.9975
"OK",2001,154.1525
"OK",2002,160.2
"OK",2003,166.675
"OK",2004,173.515
"OK",2005,182.3075
"OK",2006,190.965
"OK",2007,199.24
"OK",2008,203.2575
"OK",2009,204.285
"OK",2010,202.79
"OK",2011,199.5575
"OK",2012,202.6775
"OK",2013,206.1525
"OK",2014,212.355
"OK",2015,221.815
"OK",2016,228
"OR",1990,128.565
"OR",1991,140.87
"OR",1992,152.0775
"OR",1993,163.9025
"OR",1994,181.2125
"OR",1995,198.08
"OR",1996,213.045
"OR",1997,226.61
"OR",1998,237.9525
"OR",1999,244.095
"OR",2000,251.1175
"OR",2001,265.285
"OR",2002,276.5675
"OR",2003,289.8425
"OR",2004,317.3525
"OR",2005,370.0475
"OR",2006,431.53
"OR",2007,455.855
"OR",2008,439.605
"OR",2009,401.835
"OR",2010,373.1125
"OR",2011,347.1075
"OR",2012,345.545
"OR",2013,370.01
"OR",2014,402.085
"OR",2015,439.6225
