Year,VALUE
1990,0.79
1991,0.61
1992,0.40
1993,0.31
1994,0.50
1995,0.55
1996,0.51
1997,0.68
1998,0.79
1999,0.77
2000,0.71
2001,0.38
2002,0.19
2003,0.21
2004,0.25
2005,0.41
2006,0.47
2007,0.94
2008,1.55
2009,0.54
2010,0.21
2011,0.28
2012,0.34
2013,0.21
2014,0.20
2015,0.26
